Base,Representação,Modelo,hidden_dims,dropout,Accuracy,F1-Regra,F1-NRegra,F1-Macro
Parquet,RoBERTa + MLP,MLP-Shallow,[256],0.3,0.8916,0.874,0.9045,0.8892
Parquet,RoBERTa + MLP,MLP-Medium,"[512, 256]",0.4,0.9065,0.8889,0.9195,0.9042
Parquet,RoBERTa + MLP,MLP-Deep,"[512, 256, 128]",0.5,0.9051,0.8898,0.9164,0.9031
ACCORD Official,RoBERTa + MLP,MLP-Shallow,[256],0.3,0.9081,0.8685,0.9292,0.8988
ACCORD Official,RoBERTa + MLP,MLP-Medium,"[512, 256]",0.4,0.906,0.8659,0.9274,0.8966
ACCORD Official,RoBERTa + MLP,MLP-Deep,"[512, 256, 128]",0.5,0.9184,0.8812,0.9381,0.9097
Base Construída,RoBERTa + MLP,MLP-Shallow,[256],0.3,0.8955,0.8849,0.904,0.8944
Base Construída,RoBERTa + MLP,MLP-Medium,"[512, 256]",0.4,0.91,0.9016,0.9167,0.9091
Base Construída,RoBERTa + MLP,MLP-Deep,"[512, 256, 128]",0.5,0.908,0.897,0.9168,0.9069
