Base,Representação,Modelo,Accuracy,Precision,Recall,F1-Regra,F1-NRegra,F1-Macro,F1-Weighted
Parquet,Word2Vec,Logistic Regression,0.7131,0.63,0.7652,0.691,0.7322,0.7116,0.7149
Parquet,Word2Vec,Random Forest,0.7912,0.7768,0.7045,0.7389,0.826,0.7824,0.7895
Parquet,Word2Vec,SVM,0.7165,0.6325,0.7733,0.6958,0.7345,0.7152,0.7183
ACCORD Official,Word2Vec,Logistic Regression,0.6767,0.5073,0.6753,0.5794,0.7374,0.6584,0.6853
ACCORD Official,Word2Vec,Random Forest,0.7666,0.6923,0.526,0.5978,0.8356,0.7167,0.7572
ACCORD Official,Word2Vec,SVM,0.6745,0.5048,0.6883,0.5824,0.7333,0.6579,0.6836
Base Construída,Word2Vec,Logistic Regression,0.7419,0.6729,0.7669,0.7168,0.7629,0.7398,0.7432
Base Construída,Word2Vec,Random Forest,0.8069,0.7892,0.7458,0.7669,0.8351,0.801,0.8061
Base Construída,Word2Vec,SVM,0.7401,0.6608,0.8008,0.7241,0.7543,0.7392,0.7414
