Base,Modelo,Representação,Accuracy,Precision,Recall,F1-Regra,F1-NRegra,F1-Macro,F1-Weighted,kDN_medio_tfidf,kDN_medio_feat,kDN_medio_rob
Parquet (Base completa),DRES (LR+RF+SVM),Dinâmica (TF-IDF / TF-IDF+Feat / RoBERTa),0.8795,0.8532,0.8635,0.8583,0.8951,0.8767,0.8796,0.2797,0.2285,0.259
ACCORD Official,DRES (LR+RF+SVM),Dinâmica (TF-IDF / TF-IDF+Feat / RoBERTa),0.8758,0.8467,0.784,0.8141,0.9068,0.8604,0.8746,0.3082,0.2599,0.2465
Base Construída,DRES (LR+RF+SVM),Dinâmica (TF-IDF / TF-IDF+Feat / RoBERTa),0.8791,0.8653,0.8618,0.8635,0.8914,0.8775,0.879,0.2976,0.2398,0.2531
