Base,Representação,Modelo,F1-Macro,F1-Macro Std,F1-Weighted,Accuracy
Parquet,RoBERTa,Logistic Regression,0.8138,0.0162,0.8169,0.8158
Parquet,RoBERTa,Random Forest,0.861,0.0087,0.8653,0.8661
Parquet,RoBERTa,SVM,0.8159,0.0216,0.8186,0.8175
ACCORD Official,RoBERTa,Logistic Regression,0.7795,0.0178,0.7972,0.7918
ACCORD Official,RoBERTa,Random Forest,0.7727,0.0112,0.8094,0.8235
ACCORD Official,RoBERTa,SVM,0.7814,0.0176,0.7979,0.7922
Base Construída,RoBERTa,Logistic Regression,0.8102,0.0154,0.8127,0.8118
Base Construída,RoBERTa,Random Forest,0.852,0.0209,0.8556,0.8562
Base Construída,RoBERTa,SVM,0.819,0.0164,0.821,0.8201
